               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.024225,           0.0060807,           0.0014211,             0.96173,             0.96435,             0.97079,             0.50441,            0.036301,           0.0046958,          0.00075253,           0.0072874,           0.0072874,           0.0072874
                 139,            0.026293,           0.0061638,           0.0014999,             0.99644,             0.98243,             0.99472,             0.51978,            0.034701,           0.0046449,          0.00076216,           0.0072676,           0.0072676,           0.0072676
                 140,            0.025797,           0.0060785,           0.0018197,             0.96497,             0.98286,             0.97465,             0.51815,            0.034831,           0.0047624,          0.00077986,           0.0072478,           0.0072478,           0.0072478
                 141,            0.023851,           0.0062475,           0.0015361,             0.99864,             0.99927,               0.995,              0.5945,            0.028328,           0.0047169,          0.00086567,            0.007228,            0.007228,            0.007228
                 142,            0.025743,           0.0058383,           0.0017356,             0.96656,             0.98531,             0.97602,             0.56008,            0.029386,            0.004788,          0.00094139,           0.0072082,           0.0072082,           0.0072082
                 143,            0.026727,           0.0061695,           0.0016888,             0.98247,             0.98361,              0.9757,             0.55205,            0.031107,           0.0047552,          0.00087955,           0.0071884,           0.0071884,           0.0071884
                 144,            0.023001,           0.0057242,           0.0018944,             0.96927,             0.95888,             0.97206,             0.54698,            0.032195,           0.0047647,          0.00084238,           0.0071686,           0.0071686,           0.0071686
                 145,            0.025449,           0.0057827,            0.002022,             0.98068,             0.97674,             0.97742,             0.56777,            0.031038,            0.004722,          0.00071741,           0.0071488,           0.0071488,           0.0071488
                 146,            0.025612,           0.0061375,           0.0014015,             0.96953,             0.97978,             0.97741,             0.57054,             0.03186,           0.0048614,          0.00055548,            0.007129,            0.007129,            0.007129
                 147,            0.024826,           0.0055134,           0.0015913,             0.97019,             0.98327,             0.97709,             0.48756,            0.035984,           0.0047848,          0.00052027,           0.0071092,           0.0071092,           0.0071092
                 148,            0.025624,           0.0060865,           0.0014379,             0.97036,             0.98139,              0.9763,             0.48552,            0.034987,           0.0046699,          0.00053951,           0.0070894,           0.0070894,           0.0070894
                 149,            0.028546,           0.0059921,           0.0022819,             0.97078,             0.98024,             0.97637,             0.51464,            0.031431,           0.0044902,          0.00060778,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024008,           0.0054368,          0.00098369,             0.97654,             0.96912,             0.97523,              0.4882,            0.032324,           0.0045055,          0.00063419,           0.0070498,           0.0070498,           0.0070498
